,ID,Allocations,State,Team,Billing Company,Role,Skill,Seniority,Location,Office,Start Date,End Date,Sphere,Classification,Billing Code,P. Order,Invoice Desc.,%,$,Rate,Discount,Flagged,Notes,Email,
,,,,,,,,,,,,,,,,,,,,,,,,,
,905,Mr Pine,HIRED,PolyCon (Poly),MIndera Think UK,Backend Developer,Java,Mid,Porto (PT),Mapfre 404,2018-06-18,2030-07-03,Engineering,N/A,Poly,Sync with team,Sync with team,100,EUR,297,0,Yes,,david.pinheiro@mindera.com,
,2013,Emil Burrowes,HIRED,PolyCon (Poly),MIndera Think UK,Developer,Javascript,Junior,Porto (PT),Mapfre 213,2020-01-20,Sync with team,Engineering,N/A,Poly,Sync with team,Sync with team,100,EUR,297,0,Yes,,carolina.pereira@mindera.com,"
            
              
            "
,2095,Percy Murphy,HIRED,Stark Industries (Frontend Team),MIndera Think UK,Frontend Developer,React,Mid,Porto (PT),Mapfre 307,2020-03-04,Sync with team,Engineering,N/A,Frontend Team,Sync with team,Sync with team,100,GBP,261,0,No,,percy.murphy@mindera.com,"
            
              
            "
,2096,Augustine Letts,HIRED,Stark Industries (Frontend Team),MIndera Think UK,Quality Assurance Engineer,Test Automation,Senior,Porto (PT),Mapfre 106,2020-03-04,Sync with team,Engineering,N/A,Frontend Team,Sync with team,Sync with team,100,GBP,315,0,No,32,miguel.santos@mindera.com,"
            
              
            "
,2157,Rogelio Michelsen,HIRED,Rearden Steel  (Steel Frontend),MIndera Think UK,Frontend Developer,React,Junior,Porto (PT),Mapfre 119,2020-03-02,Sync with team,Engineering,N/A,Steel Frontend,Sync with team,Sync with team,100,GBP,215,0,No,,antonio.cruz@mindera.com,"
            
              
            "
,2172,Christopher Troia,HIRED,Rearden Steel  (Steel),MIndera Think UK,Quality Assurance Engineer,Test Automation,Junior,Porto (PT),Mapfre 311,2020-04-13,Sync with team,Engineering,N/A,Steel,Sync with team,Sync with team,100,EUR,279,0,Yes,,christopher.troia@mindera.com,"
            
              
            "
,2204,Teodoro Casperson,HIRED,Rearden Steel  (Steel),MIndera Think UK,Frontend Developer,React,Junior,Ílhavo (MA),Aveiro,2020-04-06,Sync with team,Engineering,N/A,Steel,Sync with team,Sync with team,100,EUR,279,0,Yes,Test2,teodoro.casperson@mindera.com,"
            
              
            "
,2426,Selina Sola,HIRED,Stark Industries (Frontend Team),MIndera Think UK,Product Owner,Product/Project,Mid,Porto (PT),Mapfre 407,2020-06-01,Sync with team,Engineering,N/A,Frontend Team,Sync with team,Sync with team,100,GBP,315,0,No,,sofia.silva@mindera.com,"
            
              
            "
,2883,Gil Villela,HIRED,PolyCon (Poly),MIndera Think UK,Backend Developer,Java,Mid,Porto (PT),Mapfre 213,2020-11-09,Sync with team,Engineering,N/A,Poly,Sync with team,Sync with team,100,EUR,297,0,Yes,,gil.villela@mindera.com,"
            
              
            "
,3232,Hugh Grammer,HIRED,Mindera (Mindera People),MIndera Think UK,Frontend Developer,Javascript,Mid,Porto (PT),Mapfre 507,2021-02-01,Sync with team,Engineering,N/A,Mindera People,Sync with team,Sync with team,10,EUR,0,0,No,Changed Note #11,gil.filipe@mindera.com,"
            
              
            "
,3233,Blake Docherty,HIRED,Mindera (Mindera People),MIndera Think UK,Backend Developer,Java,Grad,Porto (PT),Mapfre 307,2021-02-01,Sync with team,Engineering,N/A,Mindera People,Sync with team,Sync with team,10,EUR,0,0,Yes,,robert.ciulei@mindera.com,"
            
              
            "
,3235,Rogelio Michelsen,HIRED,Mindera (Mindera People),MIndera Think UK,Frontend Developer,React,Junior,Porto (PT),Mapfre 119,2021-02-01,Sync with team,Engineering,N/A,Mindera People,Sync with team,Sync with team,10,EUR,0,0,Yes,,antonio.cruz@mindera.com,"
            
              
            "
,3241,Mistie Whittingham,HIRED,Mindera (Mindera People),MIndera Think UK,iOS Developer,iOS,Junior,Porto (PT),Mapfre 307,2021-02-01,Sync with team,Engineering,N/A,Mindera People,Sync with team,Sync with team,10,EUR,0,0,Yes,,daniela.costa@mindera.com,"
            
              
            "
,3243,Kurt Pauling,HIRED,Mindera (Mindera People),MIndera Think UK,Frontend Developer,React,Mid,Aveiro (PT),To Be Defined,2021-02-01,Sync with team,Engineering,N/A,Mindera People,Sync with team,Sync with team,10,EUR,0,0,Yes,,jose.sousa@mindera.com,"
            
              
            "
,3244,Denis Falkowski,HIRED,Mindera (Mindera People),MIndera Think UK,Product Owner,Product/Project,Mid,Porto (PT),Mapfre 404,2021-02-01,2026-11-01,Engineering,N/A,Mindera People,Sync with team,Sync with team,10,EUR,0,0,No,Changed Note #5,alexandre.silva@mindera.com,
,3327,Conrad Borunda,LEFT,Mindera (Mindera People),MIndera Think UK,Information Security Specialist,N/A,Senior,Porto (PT),Mapfre 216,2022-03-01,Sync with team,Engineering,N/A,Mindera People,Sync with team,Sync with team,10,EUR,10,0,Yes,,alin.deac@mindera.com,"
            
              
            "
